,energy,data,data_err
705,0.018421,4.822,0.03494
706,0.018303,4.8422,0.035422
707,0.018186,4.8633,0.035855
708,0.01807,4.9103,0.036293
709,0.017955,4.9484,0.03692
710,0.017841,4.9918,0.037442
711,0.017728,5.0615,0.038193
712,0.017616,4.996,0.038219
713,0.017506,5.0139,0.038693
714,0.017396,5.0415,0.039163
715,0.017288,5.0526,0.039349
716,0.01718,5.0892,0.04003
717,0.017073,5.1626,0.040858
718,0.016968,5.1628,0.040834
719,0.016863,5.1451,0.041432
720,0.016759,5.297,0.042433
721,0.016657,5.2733,0.042738
722,0.016555,5.2474,0.042832
723,0.016454,5.2672,0.04319
724,0.016354,5.3243,0.043135
725,0.016255,5.3031,0.042902
726,0.016157,5.3579,0.043418
727,0.01606,5.3712,0.044051
728,0.015964,5.3378,0.043793
729,0.015904,5.566,0.092074
730,0.01588,5.4929,0.090322
731,0.015856,5.4053,0.089842
732,0.015832,5.5163,0.0918
733,0.015809,5.3778,0.089683
734,0.015785,5.6109,0.092646
735,0.015762,5.4879,0.092178
736,0.015738,5.4579,0.09173
737,0.015715,5.4479,0.091206
738,0.015691,5.4967,0.092068
739,0.015668,5.4965,0.092441
740,0.015645,5.1462,0.08711
741,0.015621,5.2517,0.088035
742,0.015598,4.9921,0.084355
743,0.015575,4.7642,0.081995
744,0.015552,4.8786,0.082386
745,0.015529,4.7867,0.082423
746,0.015506,4.8498,0.082286
747,0.015483,4.843,0.083346
748,0.01546,4.704,0.081814
749,0.015437,4.9129,0.084142
750,0.015381,4.8842,0.04191
751,0.01529,4.8565,0.041935
752,0.015201,4.8618,0.041951
753,0.015112,4.8683,0.042214
754,0.015024,4.9112,0.043162
755,0.014937,4.9582,0.043515
756,0.01485,4.9512,0.044007
757,0.014765,4.9634,0.044176
758,0.01468,5.0337,0.044866
759,0.014596,5.0334,0.045547
760,0.014512,5.0431,0.045707
761,0.014429,5.0784,0.046399
762,0.014347,5.0568,0.046494
763,0.014266,4.9685,0.046168
764,0.014185,5.0734,0.047543
765,0.014105,5.219,0.04861
766,0.014026,5.2129,0.04884
767,0.013947,5.2232,0.049306
768,0.013869,5.2488,0.049833
769,0.013792,5.237,0.050125
770,0.013715,5.3052,0.050732
771,0.013639,5.3035,0.051043
772,0.013564,5.2966,0.050795
773,0.013489,5.2971,0.051366
774,0.013415,5.3626,0.052047
775,0.013341,5.3694,0.052315
776,0.013268,5.3946,0.052507
777,0.013196,5.3931,0.052689
778,0.013124,5.4249,0.053285
779,0.013053,5.5187,0.054503
780,0.012982,5.543,0.055259
781,0.012912,5.469,0.055076
782,0.012842,5.4675,0.055467
783,0.012774,5.5424,0.056427
784,0.012705,5.584,0.05743
785,0.012637,5.6478,0.058865
786,0.01257,5.7185,0.059984
787,0.012503,5.7502,0.060549
788,0.012437,5.7833,0.06124
789,0.012371,5.7307,0.061662
790,0.012306,5.6351,0.061251
791,0.012241,5.8071,0.063247
792,0.012177,5.9469,0.065876
793,0.012114,5.7039,0.063832
794,0.012051,5.8869,0.066016
795,0.011988,5.8142,0.065557
796,0.011926,6.0048,0.068183
797,0.011864,5.9374,0.068244
798,0.011803,6.0146,0.069794
799,0.011742,6.0593,0.071351
800,0.011704,6.128,0.14482
801,0.011689,5.8627,0.13721
802,0.011674,6.0315,0.14117
803,0.011659,6.0382,0.14271
804,0.011644,6.1018,0.14434
805,0.011629,5.854,0.13849
806,0.011614,5.934,0.14314
807,0.0116,5.7558,0.13733
808,0.011585,5.8934,0.14034
809,0.01157,5.6576,0.13416
810,0.011555,5.4069,0.12705
811,0.01154,5.2766,0.12681
812,0.011526,5.2413,0.12703
813,0.011511,5.347,0.12869
814,0.011496,5.4315,0.13144
815,0.011482,5.154,0.12472
816,0.011467,5.3045,0.12673
817,0.011453,5.0658,0.12354
818,0.011438,5.1891,0.12462
819,0.011423,5.2008,0.12691
820,0.011409,4.9312,0.11977
821,0.011394,5.3612,0.12878
822,0.01138,5.1315,0.12502
823,0.011366,5.1598,0.12763
824,0.011351,5.4073,0.13245
